"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
197.989966579588,302.540653008416,242.057814924073,351.689507524458,266.379148267272,394.93509834219,406.339524543818,355.886192349581,385.269017048939,253.109963073981,253.009662052229
231.22079891062,275.123094947377,186.924512264136,339.303518456001,262.642106632917,372.501728448282,465.108557624663,301.24819127069,363.734926923994,213.31652820619,266.747099685633
249.975688033208,287.872680651538,259.98716036162,351.432959544044,276.544848161708,356.781766295315,484.656767701325,330.836027062973,338.748871489121,234.619673318802,254.963665706573
240.740491413623,294.069521857615,232.816196220084,327.153845400804,283.016325168232,341.648326060053,460.717893042163,344.895927455393,310.943146738424,173.910698099332,177.154255785578
244.56140316216,278.716229014848,215.529217252375,352.155343157479,284.522023906058,358.225609747965,438.794695985405,344.940761770902,340.982318938754,205.565521030487,211.911546250248
258.282869204584,287.026660196744,213.510891968803,347.756762055024,296.124383208569,362.776354628806,416.018703967655,358.023296109698,343.121694632323,209.824950784685,235.671580400197
221.173079418758,273.564010575524,257.080673403261,282.175463422833,300.094429254067,354.235888941369,444.977865771734,329.160559063976,362.058232854531,222.946379064464,221.982734004627
287.645544801915,268.225330059361,218.046034644352,342.953540307199,267.496312819899,370.436542350297,435.304949599203,337.044795673243,339.568317749685,227.085104846867,234.868107618831
266.660373572749,287.856507541094,245.315373239667,396.858749319137,264.47901607801,371.043117618978,467.935236685759,363.204880730747,362.088377982793,242.438383634072,244.633468001247
259.40377815181,296.992569133681,227.755632164141,374.808196686034,285.437686672175,380.473605086814,488.76414223792,327.718727705217,267.321408435958,240.757492980218,256.630396542738
237.957895223331,296.280840650624,221.007148855966,330.515700337308,258.710503720663,331.893263203534,391.386795850796,347.020621542638,299.179944384639,238.46555149427,223.913432175554
241.676816775019,293.225458718905,237.033316138872,397.320361557085,242.462628297634,352.27061235586,455.70644031419,341.780077074005,346.628240958101,229.785931223219,231.217230537048
249.426340367987,258.616928952703,259.896433739864,327.172457654319,282.733841845626,350.809860563196,472.386074679317,350.109015570265,334.529279092628,205.509426328272,211.167689749411
262.368790674229,278.131912771145,221.594856002564,372.546297027416,274.106262559804,364.218921002079,415.664508745227,376.077403521177,335.839944290061,239.640890509667,257.506585671753
272.132343163749,282.115336592829,206.665531009181,356.804553511428,270.432623290866,379.840045589103,419.11323496329,327.632029752349,368.867982838802,256.133512692469,197.323269573739
251.481759644502,313.336409924307,222.192572749878,337.8873533592,279.007395989113,375.292037981166,481.883429336727,318.803085368067,330.760568557098,226.623099662138,273.733228712713
244.749355065934,256.575793773603,214.392644596624,359.627422364033,256.315847850756,352.338869246386,399.387474641445,326.51004434789,352.17305677968,226.26614682187,273.724402006555
220.203061202005,236.839567971873,270.881537317204,359.097058865518,310.270816427275,364.507641961539,431.877318832419,331.42995751906,364.631296882656,180.556892844316,249.597636435448
277.273684790363,286.790309849838,241.052977882703,322.660147918263,288.497007875594,356.151122165983,465.240661338999,356.979886858584,317.172280398762,212.724640453156,209.830299445194
226.452893249693,268.269673514207,242.842395547468,377.199392533897,253.330935584401,380.305951466638,369.771212606131,351.261749395457,379.148635115509,237.94526820902,245.68420684756
