"WhaleNumber","Dual_Left_Right","KnownSex","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
1874,"Left","0",1,2,1,1,1,1,1,1,1,1,1,1,1
1884,"Left","0",1,2,1,1,1,1,1,1,1,1,1,1,1
1899,"Left","0",1,2,1,1,1,1,1,1,1,1,1,1,1
1908,"Left","0",1,3,1,1,1,1,1,1,1,1,1,3,1
1924,"Left","0",2,4,1,1,1,1,1,1,1,1,1,1,1
1953,"Left","0",1,2,1,1,1,1,1,1,1,1,1,1,1
1995,"Left","0",1,6,1,1,1,9,1,1,1,1,1,1,1
2024,"Left","0",1,2,1,9,1,1,1,1,1,1,1,1,1
2027,"Left","0",1,2,1,2,2,1,2,1,2,2,1,2,2
2052,"Dual","0",2,2,2,1,1,2,2,1,1,1,2,2,2
2061,"Left","0",1,2,1,1,1,1,1,1,1,1,1,1,1
2142,"Left","0",1,1,2,1,1,2,2,2,1,1,2,2,2
2171,"Left","0",1,1,2,2,1,9,11,2,3,2,4,6,9
2175,"Left","0",1,1,2,2,2,2,2,1,1,2,2,2,3
2191,"Left","F",1,1,2,1,1,1,1,1,1,1,1,1,1
2204,"Dual","M",1,2,2,1,1,1,1,1,1,1,1,1,1
2211,"Left","0",1,1,6,1,1,2,1,2,1,2,1,6,1
2213,"Dual","0",1,1,2,1,1,1,1,1,1,2,1,11,2
2224,"Left","0",1,1,2,2,1,1,1,1,1,1,1,1,1
2241,"Dual","M",2,1,2,1,2,2,2,1,2,2,2,2,2
2242,"Left","0",1,1,2,2,1,1,1,1,2,1,2,1,1
2253,"Left","0",1,1,2,1,1,1,1,1,1,1,1,1,1
2254,"Left","0",1,1,4,2,2,4,6,1,2,1,1,2,3
2257,"Left","0",1,1,6,2,2,3,6,2,2,1,6,1,2
2261,"Left","0",1,1,2,1,1,14,1,1,1,1,1,1,1
2263,"Left","0",1,1,2,1,1,1,1,1,1,1,1,1,1
2270,"Left","0",1,1,2,1,1,1,2,1,1,1,1,6,2
2271,"Left","0",1,1,9,1,2,14,1,1,1,1,2,1,1
2290,"Left","0",1,1,2,2,1,1,1,2,1,9,2,1,2
2292,"Left","0",1,1,2,2,1,1,1,1,1,1,1,1,1
2294,"Left","M",2,1,2,1,1,2,2,2,2,2,1,1,1
2295,"Left","0",2,1,2,1,1,2,2,2,1,2,1,2,2
2299,"Left","0",1,1,2,1,1,1,1,1,1,1,1,1,1
2300,"Left","0",1,1,2,1,1,2,2,2,2,14,1,1,1
2303,"Dual","M",1,1,2,1,2,2,2,2,2,2,2,1,1
2327,"Dual","0",1,2,2,1,2,2,2,1,6,1,2,1,2
2339,"Left","0",1,1,2,2,1,2,11,1,1,1,1,2,13
2345,"Left","0",1,1,2,1,1,1,1,1,1,1,1,1,1
2346,"Dual","0",2,2,2,1,2,1,1,2,1,2,1,2,2
2356,"Left","0",1,1,1,2,1,1,1,1,1,1,1,1,1
2366,"Left","M",2,1,1,2,2,1,1,1,1,1,1,2,2
2375,"Left","0",1,1,1,2,1,6,9,1,1,11,1,3,2
2379,"Dual","M",2,1,1,2,1,2,2,1,1,2,2,2,2
2408,"Left","0",1,1,1,2,1,2,1,1,1,1,1,1,1
2426,"Left","0",1,1,1,2,1,2,6,1,2,2,1,6,1
2459,"Left","0",2,4,1,2,1,2,1,1,9,2,2,1,11
2465,"Left","0",1,1,1,2,2,1,1,1,1,1,1,1,1
2473,"Left","0",1,1,1,2,1,1,2,2,2,1,1,1,1
2475,"Left","0",1,1,1,2,1,1,1,1,1,2,1,1,1
2496,"Left","0",1,1,1,2,1,2,1,6,2,3,1,1,2
2509,"Left","0",1,2,1,2,1,2,2,1,2,2,2,1,1
2513,"Left","0",2,1,1,2,2,2,1,1,1,1,1,1,1
2530,"Left","0",1,1,1,2,1,1,1,1,1,1,1,1,1
2539,"Left","0",1,2,1,2,1,2,1,1,1,2,1,2,2
2540,"Left","0",1,1,1,2,1,1,2,1,1,1,1,1,1
2552,"Left","0",1,1,1,2,1,1,1,2,1,1,1,2,1
2553,"Left","0",1,1,2,2,2,2,2,1,2,2,2,2,2
2554,"Left","0",1,1,1,2,1,2,1,1,1,1,1,1,6
2561,"Left","0",1,1,1,2,2,2,1,1,1,1,1,1,1
2594,"Left","0",1,1,1,6,1,1,2,1,1,1,2,2,1
2607,"Left","0",2,4,2,4,1,2,4,1,1,2,2,3,1
2610,"Left","0",1,1,2,2,1,2,1,1,1,2,1,1,1
2622,"Left","0",1,1,1,2,1,1,1,1,1,1,1,1,1
2626,"Left","0",1,2,1,2,2,2,2,2,2,2,2,2,2
2634,"Left","F",1,1,1,4,1,2,1,2,2,1,1,1,1
2637,"Left","0",1,1,1,2,1,1,1,1,1,1,2,1,2
2648,"Left","0",1,1,1,2,1,1,1,1,1,1,1,9,14
2677,"Left","0",1,1,1,2,1,1,1,1,1,1,1,1,1
2708,"Left","0",1,1,1,2,1,1,1,1,1,1,1,1,1
2720,"Left","0",1,1,1,2,1,1,1,1,1,1,1,1,1
2732,"Left","0",1,1,1,2,1,1,2,1,2,1,6,1,11
2782,"Left","0",1,2,2,2,1,2,2,1,2,2,2,2,1
2802,"Left","0",1,1,1,2,1,1,1,1,1,1,1,1,1
3024,"Dual","0",1,1,1,1,2,9,1,2,2,2,2,2,6
3179,"Dual","0",1,1,1,1,1,1,2,1,2,7,2,2,2
3603,"Left","0",1,1,2,2,1,1,1,1,1,1,1,1,1
3609,"Left","0",2,2,1,1,2,9,1,1,2,3,1,1,1
3611,"Left","0",1,2,1,1,1,1,1,1,1,1,1,1,1
3625,"Left","0",1,2,1,1,1,1,1,1,1,1,1,1,1
3833,"Dual","0",1,1,1,1,1,1,2,1,1,2,4,1,9
3846,"Dual","0",1,1,1,1,1,2,2,2,2,1,1,1,1
4153,"Dual","0",1,1,1,1,1,1,1,1,1,1,1,2,2
4400,"Dual","0",1,1,1,1,1,2,1,1,1,2,2,1,9
4425,"Dual","0",1,1,1,1,1,2,1,1,1,2,2,1,1
5206,"Dual","0",1,1,1,1,1,1,2,1,1,1,1,1,1
5319,"Dual","0",1,1,1,1,2,9,6,2,2,2,2,2,2
6589,"Dual","0",1,1,1,1,1,1,2,1,1,2,2,2,2
7244,"Dual","M",1,1,2,2,2,2,1,2,1,1,1,1,1
7590,"Left","0",1,1,1,1,2,4,1,2,2,2,2,1,2
7591,"Left","0",1,1,1,1,2,2,2,1,2,1,2,1,2
7659,"Left","0",1,1,1,1,2,2,1,1,2,1,2,1,1
7717,"Left","0",1,1,1,1,2,1,4,1,1,1,1,1,1
7796,"Left","0",2,1,1,1,2,2,9,1,1,9,2,2,2
7819,"Left","0",1,1,1,1,2,2,1,1,1,1,1,1,1
7845,"Left","0",1,1,1,1,2,2,2,2,2,3,5,2,1
7865,"Left","0",1,1,1,1,1,2,1,1,1,1,1,1,1
7876,"Left","0",1,1,1,1,1,2,2,1,1,1,1,1,1
7884,"Left","0",1,1,1,1,2,9,1,1,2,1,2,2,1
7885,"Left","0",1,1,1,1,1,2,1,1,1,1,1,1,1
7914,"Left","0",1,1,1,1,1,2,1,1,1,2,1,1,1
7923,"Left","0",1,1,1,1,1,2,2,1,1,1,1,1,1
7927,"Left","0",1,1,1,1,1,2,1,1,1,1,2,1,1
7941,"Left","0",1,1,1,1,1,2,2,1,1,1,1,1,1
7968,"Left","0",1,1,1,1,1,2,1,1,1,1,1,1,1
7969,"Left","0",1,1,1,1,1,2,1,1,1,1,1,1,1
7972,"Left","0",1,1,1,1,1,2,1,1,1,1,1,1,1
8025,"Left","0",1,1,1,1,1,2,1,1,2,1,1,1,1
8030,"Left","0",1,1,1,1,1,2,1,1,1,1,2,1,1
8068,"Left","0",1,1,1,1,2,2,2,1,1,1,2,1,2
8074,"Left","0",1,1,1,1,1,2,2,1,2,1,2,3,2
8075,"Left","0",1,1,1,1,1,2,1,1,1,2,1,1,6
8090,"Left","0",1,1,1,1,1,2,1,1,2,1,1,1,2
8120,"Left","0",1,1,1,1,1,2,1,1,1,1,1,1,1
8148,"Left","0",1,1,1,1,1,2,1,1,1,1,1,2,2
8151,"Dual","M",1,1,1,1,1,2,1,1,1,1,1,1,2
8193,"Left","0",1,1,1,1,1,2,2,1,1,1,1,1,1
8203,"Left","0",1,1,1,1,1,2,2,2,1,2,2,1,1
8236,"Left","0",1,1,1,1,2,2,1,2,1,2,2,1,2
8242,"Left","0",1,1,1,1,2,2,2,1,2,1,6,2,2
8249,"Left","0",1,1,1,1,1,2,1,1,1,1,2,1,2
8260,"Left","0",1,1,1,1,1,2,2,1,1,1,2,1,1
8282,"Left","0",1,1,1,1,1,2,2,1,1,1,1,1,1
8286,"Left","0",1,1,1,1,1,2,1,1,1,1,1,1,1
8288,"Left","0",1,1,1,1,1,2,1,1,1,1,1,1,1
8316,"Left","0",1,1,1,1,1,2,1,1,2,2,2,14,1
8330,"Left","0",1,1,1,1,1,2,1,9,1,1,4,2,24
8332,"Left","0",1,1,1,1,1,2,2,1,1,1,1,1,1
8338,"Left","0",1,1,1,1,1,2,1,4,1,2,2,3,5
8340,"Left","0",1,1,1,1,1,2,2,1,1,2,1,2,1
8437,"Left","0",1,1,1,1,1,2,2,1,1,1,1,1,1
8440,"Left","0",1,1,1,1,1,2,1,1,1,2,1,1,1
8447,"Left","0",1,1,1,1,1,2,1,1,4,1,2,4,1
8477,"Left","0",1,1,1,1,1,2,2,1,2,1,1,1,1
8479,"Left","0",1,1,1,1,1,2,1,1,1,2,1,1,1
8505,"Left","0",1,1,1,1,1,2,1,2,6,2,2,15,1
8513,"Left","0",1,1,1,1,1,14,2,1,1,1,1,1,1
8535,"Left","0",1,1,1,1,1,2,2,1,1,1,2,2,1
8537,"Left","0",1,1,1,1,1,2,2,1,1,1,1,1,1
8561,"Left","0",1,1,1,1,1,2,1,1,1,2,1,2,1
8614,"Left","0",1,1,1,1,1,2,2,1,1,1,1,1,1
8693,"Left","0",1,1,1,1,2,2,2,1,1,1,23,2,2
8695,"Left","0",1,1,1,1,1,2,1,1,2,1,2,1,1
8722,"Left","0",1,1,1,1,1,2,1,1,1,2,2,1,2
8753,"Left","0",1,1,1,1,1,2,2,1,2,1,1,1,2
8778,"Dual","0",1,1,1,2,1,2,1,1,2,2,2,1,6
8847,"Left","0",1,1,1,1,1,2,2,1,1,1,1,1,1
8890,"Left","0",1,1,1,1,1,2,1,1,1,2,2,2,1
10343,"Left","0",1,1,1,1,1,1,2,1,1,1,1,1,1
10344,"Left","F",1,1,1,1,1,1,2,2,1,2,1,1,2
10347,"Left","0",1,1,1,1,1,1,2,1,1,1,1,1,1
10367,"Left","0",1,1,1,1,1,1,2,1,1,1,1,1,1
